,name,salary,link,url
97,Senior Game Designer (The Tribez - Adventure),,https://hh.ru/vacancy/42965834?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
98,2D аниматор,45 000-60 000 руб.,https://hh.ru/vacancy/42061196?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
99,Concept Artist (Locations)/Концепт-художник по локациям,,https://hh.ru/vacancy/42981485?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
100,Senior Game Designer (core gameplay),,https://hh.ru/vacancy/42930182?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
101,Middle Game Designer (core gameplay),,https://hh.ru/vacancy/42930366?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
102,Game UI/UX Specialist,,https://hh.ru/vacancy/42300252?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
103,UX Copywriter,,https://hh.ru/vacancy/42740933?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
104,"Game designer (Москва, Санкт-Петербург, Казань, Харьков, Минск, Гомель, Калуга, Обнинск)",,https://hh.ru/vacancy/39285621?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
105,Middle+ GameDev UX/UI designer (удаленно),,https://hh.ru/vacancy/42913291?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
106,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522391?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
107,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522392?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
108,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522393?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
109,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522394?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
110,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522395?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
111,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522396?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
112,Middle/ Senior Game Designer,,https://hh.ru/vacancy/42522397?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
